participant,trial_index,chart category,chart name,has dots,has median,jitter,group,response time (s),rating,location pvalue,spread pvalue,nonnormality pvalue,Kolmogorov-Smirnov distance,Wasserstein distance,Wasserstein spearman
P49c7f8cc96f5a,94,Dot,dot plot,1,0,beeswarm,prolific,8.636,3,0.000000470415255859891,0.581642861142253,0.508094035356641,0.44,0.68731319554849,0.467546802371811
P49c7f8cc96f5a,95,Bands,density bands 50-90-99,0,0,wilkinson,prolific,2.158,4,0.405713586170522,0.0000324247525429477,0.00649193458502558,0.22,0.296201372997712,0.467546802371811
P49c7f8cc96f5a,96,Bands,density bands 50-90-99,0,0,density random,prolific,2.884,1,0.0000247281323033643,0.612201379708311,0.476742638114955,0.38,0.621571428571429,0.467546802371811
P49c7f8cc96f5a,97,Dot,dot plot,1,0,density random,prolific,2.988,1,0.0000925319122249135,0.562395914649891,0.701224306976141,0.34,0.551593695271454,0.467546802371811
P49c7f8cc96f5a,98,Bands,density bands 50-90-99,0,0,wilkinson,prolific,1.692,2,0.481396364514779,0.00673509676073492,0.129180920586417,0.26,0.310581222056632,0.467546802371811
P49c7f8cc96f5a,99,Box,box plot with dots,1,1,beeswarm,prolific,2.299,3,0.83230187511807,0.0114730918706751,0.241376090970131,0.18,0.228061366806137,0.467546802371811
P60a450b853a878,0,Dot,dot plot with median,1,1,density random,prolific,,1,0.818032541479041,0.757599116434456,0.429868175392051,0.0800000000000001,0.0788172043010753,0.591293255537146
P60a450b853a878,1,Violin,violin plot with dots,1,0,random,prolific,4.773,1,0.236362197209155,0.0590254854315488,0.0078939098815214,0.2,0.151763046544429,0.591293255537146
P60a450b853a878,2,Violin,violin plot with dots,1,0,wilkinson,prolific,,3,0.509930882406956,0.0000299405369525996,0.0126289254025788,0.24,0.287657142857143,0.591293255537146
P60a450b853a878,3,Dot,dot plot,1,0,beeswarm,prolific,3.905,1,0.0698569010798997,0.0164125296184094,0.122922832352162,0.28,0.383905325443787,0.591293255537146
P60a450b853a878,4,Dot,dot plot with median,1,1,random,prolific,,3,0.617506180094924,0.00000000364431040900115,0.0000646232251713884,0.28,0.340079681274901,0.591293255537146
P60a450b853a878,5,Bands,central bands,0,1,wilkinson,prolific,,1,0.451484333542744,0.0176746684039726,0.248661918546467,0.22,0.190903426791277,0.591293255537146
P60a450b853a878,6,Box,range bar,0,1,density random,prolific,2.157,2,0.154747644898323,0.928166908873001,0.00535410704819402,0.16,0.271011235955056,0.591293255537146
P60a450b853a878,7,Bands,central bands,0,1,beeswarm,prolific,1.627,1,0.106705280196445,0.00000799443651255949,0.000000646247711023106,0.38,0.327039239001189,0.591293255537146
P60a450b853a878,8,Dot,dot plot with median,1,1,random,prolific,,3,0.588900390482309,0.00000545042669575224,0.0560396819754569,0.26,0.365767012687428,0.591293255537146
P60a450b853a878,9,Box,range bar,0,1,random,prolific,2.796,1,0.713813295257339,0.578457219466173,0.264557046303031,0.16,0.119688715953307,0.591293255537146
P60a450b853a878,10,Violin,violin plot with box,0,0,random,prolific,2.184,1,0.713813295257339,0.578457219466173,0.264557046303031,0.16,0.119688715953307,0.591293255537146
P60a450b853a878,11,Dot,dot plot with median,1,1,wilkinson,prolific,,1,0.50950574077457,0.0130373214705419,0.249999739245226,0.16,0.225985401459854,0.591293255537146
P60a450b853a878,12,Violin,violin plot with box,0,0,random,prolific,,1,0.804260179139188,0.153513684416897,0.124295909968767,0.14,0.158719068413392,0.591293255537146
P60a450b853a878,13,Bands,central bands,0,1,beeswarm,prolific,2.924,1,0.397241147716174,0.213475566058464,0.295596632062342,0.18,0.159190556492411,0.591293255537146
P60a450b853a878,14,Dot,dot plot,1,0,random,prolific,,1,0.236362197209155,0.0590254854315488,0.0078939098815214,0.2,0.151763046544429,0.591293255537146
P60a450b853a878,15,Bands,central bands,0,1,density random,prolific,3.869,2,0.121218029982254,0.000375843169208467,0.000979891407681489,0.36,0.365222551928783,0.591293255537146
P60a450b853a878,16,Box,range bar,0,1,random,prolific,2.432,3,0.505344436620887,0.340832520521229,0.561777816499042,0.12,0.163532008830022,0.591293255537146
P60a450b853a878,17,Violin,violin plot with box,0,0,density random,prolific,1.987,2,0.525923408967898,0.494532790393365,0.454963137801355,0.14,0.121313432835821,0.591293255537146
P60a450b853a878,18,Violin,violin plot with dots,1,0,density random,prolific,2.106,4,0.0000000298325013581291,0.130319170241926,0.247663717249786,0.58,0.72548435171386,0.591293255537146
P60a450b853a878,19,Violin,violin plot with box,0,0,beeswarm,prolific,,4,0.0411006317988765,0.304166157640434,0.0109847309957138,0.16,0.391208791208791,0.591293255537146
P60a450b853a878,20,Bands,central bands,0,1,beeswarm,prolific,1.492,2,0.846145427897135,0.0476285723598553,0.350791826259967,0.18,0.202150537634409,0.591293255537146
P60a450b853a878,21,Bands,central bands,0,1,wilkinson,prolific,0.789,2,0.983747875180517,0.332435298159643,0.191130221200878,0.14,0.130258449304175,0.591293255537146
P60a450b853a878,22,Box,range bar,0,1,random,prolific,1.087,2,0.0322555023648155,0.566041055599843,0.515141544358942,0.26,0.374122621564482,0.591293255537146
P60a450b853a878,23,Violin,violin plot with box,0,0,wilkinson,prolific,1.71,4,0.00000193569982243069,0.976328644873897,0.543497264266948,0.44,0.666287744227354,0.591293255537146
P60a450b853a878,24,Box,range bar,0,1,density random,prolific,3.915,3,0.622276099911648,0.649609566880672,0.243301532885765,0.14,0.164980544747082,0.591293255537146
P60a450b853a878,25,Box,range bar,0,1,density random,prolific,3.26,2,0.675668790582646,0.735034986113717,0.017082950897806,0.14,0.185594405594406,0.591293255537146
P60a450b853a878,26,Box,range bar,0,1,random,prolific,3.176,2,0.989079021534004,0.699095957687477,0.0172589156250409,0.16,0.175009671179884,0.591293255537146
P60a450b853a878,27,Box,range bar,0,1,density random,prolific,1.684,1,0.25474543677678,0.0231929316261872,0.208109644972783,0.26,0.347534246575343,0.591293255537146
P60a450b853a878,28,Violin,violin plot with median,0,1,beeswarm,prolific,1.335,4,0.122334224047981,0.427581249107464,0.0223798554424171,0.22,0.2509375,0.591293255537146
P60a450b853a878,29,Dot,dot plot with median,1,1,beeswarm,prolific,2.197,3,0.265349817203354,0.00000962384452152243,0.0836206318264241,0.28,0.386588235294118,0.591293255537146
P60a450b853a878,30,Dot,dot plot,1,0,random,prolific,1.472,3,0.3120346661172,0.783700181766332,0.0487155838332056,0.14,0.163720930232558,0.591293255537146
P60a450b853a878,31,Box,range bar,0,1,wilkinson,prolific,1.108,3,0.000152060131562548,0.732688656418454,0.0238346978744752,0.42,0.516073211314476,0.591293255537146
P60a450b853a878,32,Box,range bar,0,1,wilkinson,prolific,1.169,2,0.777798809284846,0.0000366754132223868,0.00432126625166887,0.24,0.249317647058823,0.591293255537146
P60a450b853a878,33,Violin,violin plot with box,0,0,density random,prolific,1.402,4,0.0000310832637964165,0.994127380513686,0.116694407613396,0.42,0.631351351351351,0.591293255537146
P60a450b853a878,34,Bands,central bands,0,1,beeswarm,prolific,2.233,4,0.326116558276664,0.000000120793316016332,0.00000573464534641855,0.4,0.328110599078341,0.591293255537146
P60a450b853a878,35,Box,range bar,0,1,wilkinson,prolific,1.531,4,0.00000193569982243069,0.976328644873897,0.543497264266948,0.44,0.666287744227354,0.591293255537146
P60a450b853a878,36,Violin,violin plot with box,0,0,density random,prolific,4.507,1,0.344895954949704,0.495320992086376,0.320437303881051,0.18,0.193835616438356,0.591293255537146
P60a450b853a878,37,Dot,dot plot,1,0,wilkinson,prolific,2.019,2,0.00000401641093383809,0.130319170241926,0.247663717249786,0.5,0.717085610200365,0.591293255537146
P60a450b853a878,38,Bands,central bands,0,1,wilkinson,prolific,4.563,3,0.000169549400764968,0.822344863606249,0.59410963421485,0.34,0.578929188255613,0.591293255537146
P60a450b853a878,39,Bands,central bands,0,1,random,prolific,2.315,3,0.00000528442009972707,0.146581023411335,0.334296669364931,0.5,0.596441717791411,0.591293255537146
P60a450b853a878,40,Dot,dot plot with median,1,1,random,prolific,3.589,3,0.0184008723028504,0.249672765898391,0.370033231366575,0.28,0.415349887133183,0.591293255537146
P60a450b853a878,41,Box,range bar,0,1,beeswarm,prolific,1.732,4,0.00069480953683243,0.592098627614797,0.432722650293869,0.34,0.474962962962963,0.591293255537146
P60a450b853a878,42,Violin,violin plot with box,0,0,beeswarm,prolific,1.346,4,0.00000147842210962423,0.086162603178642,0.220311081096426,0.46,0.707172413793103,0.591293255537146
P60a450b853a878,43,Violin,violin plot with median,0,1,wilkinson,prolific,1.923,1,0.73887527409133,0.506361976304512,0.475276966509289,0.1,0.120072332730561,0.591293255537146
P60a450b853a878,44,Box,range bar,0,1,beeswarm,prolific,2.087,2,0.371057888331216,0.481560039683954,0.0307213430335862,0.14,0.252648221343873,0.591293255537146
P60a450b853a878,45,Violin,violin plot,0,0,density random,prolific,,1,0.421144694148932,0.0278865621163618,0.322152218107626,0.22,0.196452933151433,0.591293255537146
P60a450b853a878,46,Dot,dot plot with median,1,1,density random,prolific,1.211,1,0.603100364826048,0.928073518279708,0.103326533944004,0.16,0.161538461538462,0.591293255537146
P60a450b853a878,47,Box,range bar,0,1,random,prolific,1.265,1,0.00378161432762081,0.260530275404319,0.0052158064350515,0.3,0.571510791366907,0.591293255537146
